feature value,n_samples,precision,recall,fbeta
 Private,4538,0.949343339587242,0.9117117117117117,0.9301470588235293
 Self-emp-inc,244,0.9705882352941176,0.9428571428571428,0.9565217391304348
 State-gov,264,0.9322033898305084,0.9322033898305084,0.9322033898305084
 ?,367,0.9302325581395349,0.9523809523809523,0.9411764705882352
 Federal-gov,183,0.95,0.926829268292683,0.9382716049382716
 Self-emp-not-inc,495,0.925,0.9098360655737705,0.9173553719008265
 Local-gov,419,0.9428571428571428,0.908256880733945,0.9252336448598131
 Without-pay,2,0.0,0.0,0.0
 Never-worked,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Some-college,1456,0.9327217125382263,0.9077380952380952,0.9200603318250379
 Prof-school,127,0.8947368421052632,0.9444444444444444,0.918918918918919
 Masters,325,0.9594594594594594,0.8765432098765432,0.9161290322580644
 Bachelors,1115,0.931899641577061,0.9252669039145908,0.9285714285714286
 Assoc-acdm,241,0.9473684210526315,0.84375,0.8925619834710744
 11th,240,0.9298245614035088,0.8833333333333333,0.905982905982906
 HS-grad,2049,0.9624505928853755,0.9329501915708812,0.9474708171206224
 7th-8th,125,0.9375,1.0,0.967741935483871
 Assoc-voc,276,0.94,0.8867924528301887,0.912621359223301
 10th,187,0.9714285714285714,0.8292682926829268,0.8947368421052632
 9th,98,0.9130434782608695,0.9545454545454546,0.9333333333333332
 Doctorate,73,1.0,0.9545454545454546,0.9767441860465117
 12th,88,0.9333333333333333,0.8235294117647058,0.8749999999999999
 5th-6th,65,1.0,1.0,1.0
 1st-4th,32,1.0,1.0,1.0
 Preschool,16,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3014,0.9478021978021978,0.9212283044058746,0.934326337169939
 Never-married,2116,0.9401197604790419,0.9110251450676983,0.925343811394892
 Divorced,890,0.9396984924623115,0.9033816425120773,0.9211822660098522
 Married-spouse-absent,80,0.9130434782608695,0.875,0.8936170212765957
 Widowed,206,1.0,0.9298245614035088,0.9636363636363636
 Separated,202,0.972972972972973,0.9473684210526315,0.9599999999999999
 Married-AF-spouse,5,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Protective-serv,126,0.9428571428571428,0.9705882352941176,0.9565217391304348
 Prof-specialty,798,0.9285714285714286,0.9191919191919192,0.9238578680203046
 Exec-managerial,848,0.9585492227979274,0.925,0.9414758269720102
 Craft-repair,776,0.9794871794871794,0.9362745098039216,0.9573934837092732
 Transport-moving,313,0.9833333333333333,0.8676470588235294,0.9218749999999999
 Sales,778,0.9326424870466321,0.9,0.916030534351145
 Machine-op-inspct,402,0.9534883720930233,0.8723404255319149,0.9111111111111112
 Adm-clerical,766,0.9347826086956522,0.9347826086956522,0.9347826086956522
 ?,368,0.9302325581395349,0.9523809523809523,0.9411764705882352
 Other-service,676,0.9357142857142857,0.903448275862069,0.9192982456140351
 Handlers-cleaners,267,0.9666666666666667,0.8787878787878788,0.9206349206349207
 Farming-fishing,192,0.9259259259259259,0.8928571428571429,0.9090909090909091
 Tech-support,169,0.9245283018867925,0.9245283018867925,0.9245283018867925
 Priv-house-serv,32,1.0,1.0,1.0
 Armed-Forces,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2670,0.9483568075117371,0.9181818181818182,0.9330254041570438
 Not-in-family,1631,0.9413333333333334,0.9145077720207254,0.9277266754270698
 Wife,303,0.95,0.95,0.9500000000000001
 Unmarried,700,0.9512195121951219,0.9122807017543859,0.9313432835820895
 Own-child,1017,0.961038961038961,0.8951612903225806,0.9269311064718162
 Other-relative,192,0.8727272727272727,0.96,0.9142857142857144
feature value,n_samples,precision,recall,fbeta
 Other,58,0.9230769230769231,0.8,0.8571428571428571
 White,5609,0.9473293768545994,0.9193664506839453,0.9331384727804165
 Black,593,0.9307692307692308,0.9029850746268657,0.9166666666666667
 Asian-Pac-Islander,197,0.9565217391304348,0.9166666666666666,0.9361702127659574
 Amer-Indian-Eskimo,56,1.0,0.7777777777777778,0.8750000000000001
feature value,n_samples,precision,recall,fbeta
 Male,4355,0.9446640316205533,0.908745247148289,0.9263565891472868
 Female,2158,0.9492481203007519,0.9300184162062615,0.9395348837209302
feature value,n_samples,precision,recall,fbeta
 United-States,5838,0.9433551198257081,0.9135021097046413,0.9281886387995713
